cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
201968,1968,Canada,20,CAN,0,1,0,0,0,0.5769230723381042,0.012110999785363674,0,105,0.023953502997756004,20744,13491.2099609375,279861.65625,14,10,1,0,0.06759332120418549,0.5337966680526733,0.5287354588508606,1,1.1465518474578857
201969,1969,Canada,20,CAN,0,1,0,0,0,0.7727272510528564,0.011416999623179436,0,100,0.02161349356174469,21028,14051.9296875,295483.96875,14,10,1,0,0.059604331851005554,0.529802143573761,0.562359094619751,1,1.171769618988037
201970,1970,Canada,20,CAN,0,1,0,0,0,0.746268630027771,0.011540999636054039,0,95,0.021868346258997917,21324,14101.9501953125,300710,14,10,1,0,0.04220252484083176,0.5211012363433838,0.5261698365211487,0.3333333432674408,0.6446275115013123
201971,1971,Canada,20,CAN,0,1,0,0,0,0.6190476417541504,0.011745000258088112,0,85,0.021836452186107635,21962.099609375,14500.990234375,318472.1875,14,10,1,0,0.02844933792948723,0.514224648475647,0.5554273724555969,0.3333333432674408,0.6665706634521484
201972,1972,Canada,20,CAN,0,1,0,0,0,0.7064220309257507,0.012072999961674213,0,90,0.0213459525257349,22219.599609375,15150.73046875,336643.15625,14,10,1,0,0.026694506406784058,0.5133472681045532,0.6033602952957153,0.3333333432674408,0.7025204300880432
201973,1973,Canada,20,CAN,0,1,0,0,0,0.457446813583374,0.012052999809384346,0,82,0.01981179788708687,22493.80078125,16146.3701171875,363193.21875,14,10,1,0,0.020616939291357994,0.5103084444999695,0.6597050428390503,0.3333333432674408,0.7447789907455444
201974,1974,Canada,20,CAN,0,1,0,0,0,0.5263158082962036,0.012175999581813812,0,82,0.02079504355788231,22808.400390625,16652.939453125,379826.90625,14,10,1,1,0.023586971685290337,0.5117934942245483,0.7444185018539429,0.3333333432674408,0.8083140850067139
201975,1975,Canada,20,CAN,0,1,0,0,0,0.5142857432365417,0.012187999673187733,0,78,0.019666893407702446,23142.30078125,16636.44921875,385005.71875,14,10,1,1,0.019141709432005882,0.509570837020874,0.6816245913505554,0.3333333432674408,0.7612186074256897
201976,1976,Canada,20,CAN,0,1,0,0,0,0.40449437499046326,0.01191600039601326,0,78,0.02085338719189167,23449.80078125,17398.73046875,407996.75,14,10,1,0,0.010628742165863514,0.5053143501281738,0.7309088706970215,0.3333333432674408,0.7981818914413452
201977,1977,Canada,20,CAN,0,1,0,0,0,0.7142857313156128,0.0119439996778965,0,78,0.02060646377503872,23726.30078125,17662.029296875,419054.625,14,10,1,0,0.00960076879709959,0.5048003792762756,0.7497353553771973,0.3333333432674408,0.812301754951477
